コード,PER,PBR,EPS成長率,自社株買い,業種平均PER
5938,60.35336,0.7518873,,,16.103048
5943,15.35169,0.76926696,,,16.103048
5947,13.719759,1.1247243,1.7999999999999998,,16.157451000000002
5949,,0.44231033,-54.6,,16.157451000000002
5970,7.3945675,0.43734682,85.7,,16.157451000000002
5975,8.331331,0.60975444,221.8,,16.157451000000002
5988,,0.63658285,-2.3,,16.157451000000002
5991,25.050888,1.5394148,75.2,,16.157451000000002
6005,12.777987,1.437212,32.800000000000004,,16.103048
6013,16.699093,2.0263197,146.1,,16.103048
6036,8.7293215,3.4208207,5.5,,15.285404499999999
6055,20.139563,3.393146,55.1,,16.103048
6080,21.844793,2.6651316,128.4,,15.377857500000001
6088,11.472316,3.4123733,-20.9,,16.103048
6098,45.278027,12.347441,67.5,,22.2654135
6101,37.039536,2.9295375,55.00000000000001,,16.103048
6103,23.81296,1.1542472,253.7,,16.103048
6104,93.521065,0.8222064,,,16.103048
6113,25.82245,1.4802281,101.29999999999998,,16.103048
6118,16.101048,0.7913893,-48.5,,16.103048
6134,41.316895,2.6693382,122.10000000000001,,16.103048
6135,16.903637,1.3228678,354.0,,16.103048
6136,16.587503,1.557016,92.60000000000001,,16.103048
6140,28.78418,0.88625824,40.300000000000004,,16.103048
6141,61.702564,1.2503705,52.7,,16.103048
6143,13.347854,1.4640315,80.2,,16.103048
6146,47.923016,11.134278,44.0,,21.674925
6178,17.878178,0.64550316,85.1,,15.377857500000001
6196,15.573575,3.50897,39.7,,15.377857500000001
6200,14.488977,4.4985347,12.9,,19.03057
6209,7.5766306,0.6418762,-5.0,,16.157451000000002
6222,37.09422,0.3842315,,,16.103048
6235,61.251633,1.1960423,-77.7,,16.103048
6250,8.915551,3.2168927,,,16.103048
6254,35.569103,3.482483,-48.5,,16.103048
6258,17.235306,1.3398098,125.89999999999999,,16.103048
6268,26.639902,1.8590524,114.6,,16.103048
6269,9.5735445,2.5551822,39.6,,10.00143825
6273,26.864733,2.0690973,95.89999999999999,,16.103048
6277,24.212255,1.022694,-42.0,,16.103048
6278,28.677507,2.350601,145.9,,16.103048
6282,16.670547,1.040455,-10.299999999999999,,16.103048
6284,15.182703,2.0936825,20.5,,16.103048
6287,17.589993,1.0149862,109.60000000000001,,16.103048
6301,16.458328,1.7262485,5.4,,16.103048
6302,16.088253,0.92173916,139.2,,16.103048
6305,15.745744,1.2525555,148.6,,16.103048
6315,36.871326,2.2432172,,,21.674925
6323,35.869965,4.971513,56.00000000000001,,21.674925
